text;class
Pengalaman yang takan bisa terlupakan, pantai yg indah membuat hati kita nyaman dan tenang, terasa betah untuk berlama-lama main di sekitarnya.. Wajib kalian kunjungi bagi kalian yg pengen menghilangkan beban sejenak, silahkan berkunjung ke pantai ini karna aksesnya begitu dekat dengan pelabuhan.;1
Tempat wisata paling direkomendasikan ketika berkunjung ke pulau Kangean. Pantainya cukup bersih, tiket masuknya murah. Pastinya sangat halus dan lembut;1
Pantai dengan pasir putih dan pemandangan sunset yang bagus karena langsung menghadap ke arah barat.;1
Pelihara dan rawatlah pantai ujung barat pulau kangean ini sebagai sarana wisata pantai.. Pasirnya halus kayak butiran intan permata, nyaman untuk mandi serta camping dan sebagainya,, lautnya indah menunggu sunset;1
Apalagi ini pantai tiap pulang kampung selalu saja kesini untuk main ...;1
Pantai Pasir Putih terletak diujung barat Pulau Kangean. Tempat ini cukup populer untuk wisatawan lokal, baik untuk sekedar menikmati indahnya pantai atau menikmati indahnya matahari terbenam dengan pemandangan Pulau Mamburit dan mercusuarnya. Ada banyak alternatif wisata di Pulau Kangean, tapi untuk akses mudah dan tanpa berbayar setidaknya tempat ini bisa menjadi pengobat wisata di Pulau Kangean.;1
Pantai dengan deburan ombak yang kecil, hamparan pasir putih yang cukup luas. lokasi ini bersebelahan dengan pelabuhan batu guluk. Di depan pantai pasir putih terlihat dengan jelas pulau yang indah yaitu pulau mamburit.;1
Bisa lebih menikmati keindahan pantainya dibandingkan di kota2 lain yg pantainya penuh sesak dg para pengunjung;1
Spot viewnya keren dg hamparan pasir putih dan pulau kecil di depannya;1
Prinsip dari tempat nongkrong adalah kebersihan dan kenyamanan, Dua aspek ini terpenuhi di tempat ini, tempatnya rindang dan memiliki pohon-pohon besar untuk berteduh, cuaca yang terikpun menjadi cukup sejuk bila berada di taman ini. Area untuk duduk juga banyak. Lokasi ini juga cukup bersih dan tidak membuat mata gatal dengan tumpukan sampah. Semoga bisa terus mempertahankan kualitas ini dan bahkan meningkatkannya.;1
Tempat yang indah untuk mengabadikan momen anda bersama keluarga;1
TEMPATNYA yang Azri dengan pemandangan yang sangat memukau, memanjakan mata ;1
Saya pernah melaksanakan kegiatan Bersih Pantai di Pantai kebanggan masyarakat Kangean ini, dalam rangka Ekspedis Nusantara Jaya (ENJ) 2017 bersama tema-teman tim mahasiwa UIN Suna Kalijaga Yogyakarta. Pantai ini begitu indah dan masih alami. Airnya yang jernih berpadu dengan pasir lembut berwarna putih. Kita bisa melihat berbagai bentuk bintang laut dengan aneka warna, ikan, bahkan terumbu karang, hanya dengan melangkah beberapa beberapa meter saja dari bibir pantai.;1
Pantai Pasir Putih, nikmati akhir pekanmu dengan semangat hidup dan syukur bahwa kita masih bisa bernafas menjalani hidup hari ini. Selamat berlibur, mari jaga dan rawat pantai kita.;1
Pantai terindah di pulau kangean;1
Pemandangannya exotis banget;1
Bagus buat main anak, aman;1
Terlalu indah untuk dilewatkan jika pulang ke Kampung Halaman.;1
View nya memuaskan sekali ..;1
Perlu di-'make over' agar lebih menarik;1
Terlalu indah untuk pemandangan;1
Sangat indah;1
Indah;1
Keren wajib kesini;1
cellong wisata;1
Lumayan;1
Senang;1
Mantap;1
Air alami dan bersih;1
tempat yang bagus;1
Sangat Bagus;1
Begitu menakjubkan;1
Bagus ;1
Tempat yang bagus;1
Pantai Pasir Putih Kangean, pantai yg masih terjaga kejernihannya. Tp sayang sekali, sampah2 masih bertebaran, kebersihannya kurang terjaga. Padahal pantainya sangat indah. Masuk kesini hanya dikenakan semacam biaya parkir saja.;1
Pasir nya bagus,halus dan putih.cuma sangat di sayangkan agak kotor.mestinya nya penjaga pintu masuk yg tukang narikin uang parkir minimal seminggu sekali bersih2 pantai nya.;1
Pantai pasir putih ini bertempat di ujung paling barat puLau kangean yang spot selfinya sangat bagus dan banyak banget org yg berkunjung ke tempat ini hanya saja disini gk ada tempat permainannya yg misalnya spt, jetsky , banana, dan spiboot dll.;1
keren;1
pelayanan terbaik;1
ramaikan;1
Padahal pantainya bagus,, sayang kesadaran akan sampah masih kurang,, jadi sekarang banyak sampah dimana-mana;0
sudah mulai kotor;0
lumayan;0
pasir putih;0
Pantai ala korea begitu kata warga sekitar. Pemandangannya tak terlalu bagus, pasirnya juga agak berlumpur karena berdampingan dengan rawa. Tempat ini bagus juga untuk spot fotografi dan menjadi alternatif wisata saat ingin berlibur diakhir pekan. Kondisinya masih alami dan belum ada pihak pengelola.;1
Pantai yang hanya dijadikan trendy selfi oleh kaum melinial, yang menganggap pantai Korea, yang sebenarnya rusaknya bakau karena ulah orang tak bertanggung-jawab;1
Pantai yang tenang dan nyaman serta cukup bersih. Akses masuk juga cukup baik dengan pemandangan laut dan pantai yg indah.;1
Pantai yang sekarang di eksploitasi besar besaran,, pasirnya ditambang demi rupiah tanpa memperhatikan ekosistem nya rusak dan abrasi;1
Dampak tambang pasirnya sudah mulai terlihat dengan jelas, pasir putih yang menjadi ciri khasnya mulai menipis dan merusak habitat alam setempat. Belum ada tindakan tegas dari aparat setempat untuk menanggapi terkait kondisi penambangan ini dan juga belum ada upaya restorasi kondisi alam dari pihak penambang.;1
Pantai Peang Marani begitu sebutan warga lokal, tempat ini menjadi lahan pertambangan pasir di wilayah Kecamatan Arjasa. Terlepas dari pro dan kontra masalah pertambangan ditempat ini anda bisa menemukan banyak jenis Kerang dan Keong laut yang telah mati dan siap menjadi bahan kreasi.;1
Tambang pasir di pantai utara Pulau Kangean.;1
keren;1
Wisata excha keta;1
Alami;1
Dampak tambang pasirnya sudah mulai terlihat dengan jelas, pasir putih yang menjadi ciri khasnya mulai menipis dan merusak habitat alam setempat. Belum ada tindakan tegas dari aparat setempat untuk menanggapi terkait kondisi penambangan ini dan juga belum ada upaya restorasi kondisi alam dari pihak penambang.;1
Pantai yg indah dengan air laut yang bersih;1
Pantai nya bagus, air jernih, pemandangan laut yg indah pada pagi dan sore hari, sayang jalan menuju ke pantai ini masih kurang enak Fasilitas mulai banyak yg rusak, tidak terurus, sampah plastik yang mengganggu, semoga kolaborasi antara Perum Perhutani, Pemerintah dan masyarakat dapat membuat pantai ini kembali bisa membuat orang yang kesini betah;1
Semakin kreatif, semakin menjadi daya tarik wisata. Semakin besar pula tantangan untuk penghuni lokal yang mayoritas muslim. Pantai Cinta Patapan ini digagas oleh Dinas Kehutanan Kecamatan Kangayan, kemudian menjadi salah satu ikon destinasi wisata di Kangayan.;1
Tempat ini sangatlah bagus,,selain pantainya yg bersih dan berpasir putih,dia juga di kelilingi pulau yg begitu indah,seperti paleat,sepangkur dan lainnya..selain itu,pantai ini juga di bersihkan sekali satu minggu oleh ara pelajar sekolah di sekitar pantai.;1
tahun baru pertama di pulau tercinta, setelah sekitar 8 tahunan gak tahun baruan di sini, banyak banget perubahan. semoga saja bisa saling merawat dan melestarikan indahnya alam pulau kangean ;1
Tempatnya enak tp akses ksini,, jalannya jelek;1
Pantai Cinta Patapan..masih alami;1
Pantai yang menawarkan suasana eksotik jika pagi hari langsung bisa melihat sunrise karena merupakan pantai ujung timur pulau Kangean, adapun tempat ini sekarang dijadikan sebagai sarana wisata dengan menambah berbagai fasilitas yang ditawarkan untuk penikmat wisata Pantai cinta patapan sangat bagus digunakan untuk para swafoto, buat selfi selfi dan camping sekaligus karena pantai ini juga terdapat air tawar sekaligus sebagai sumber sarana air bersih;1
Karena inilah satu2nya lokasi yg pantas menjadi ikon kebanggaan masyarakat kangayan, dan akan d jadikan destinasi tempat wisata yg begitu indah dan mempesona.;1
Spot view nya amazing;1
Perbaiki semua fasilitasnya, swadaya ajaaa biar ada daya tarik sebagai wisata alternatif;1
Buat foto moment² indah bersamanya juga bagus kok ;1
terletak diujung timur Pulau Kangean Sumenep;1
tempat sangat menyenangkan. pas bgt untk yoga dan meditasi Alam;1
keren;1
cocok untuk bersantai cari sinyal 4G telkomsel he he he;1
Fantastis suatu tempat yang berpotensi untuk refreshing;1
sanngat indah;1
Tempatnya nyaman dan;1
Tempatnya enak di tempati;1
sangat memuaskan;1
lumayanlah;1
super mantap;1
Bagus;1
elegan;1
Kangayan tambah maju;1
Speedboat;1
Tempat luar biasa untuk bersantai;1
Pantai alami dengan pemandangan indah;1
Pemandangannya bagus..;1
Pantai Cinta Patapan ini dikelola oleh perhutani Kangean Timur bersama dengan warga setempat. Pantai ini menjadi destinasi wisata baru dengan fasilitas yang disediakan makin berkembang. Tersedia wahana sepeda dan becak gantung untuk wisatawan. Pemandangan ujung timur Pulau Kangean juga memanjakan mata pengunjung.;1
Karena tempat ini asik dan romantis;1
Bagus dipagi dan sore hari;1
Tempat yang indah;1
Olace yang bagus untuk melihat matahari terbenam;1
Tempat recomended untuk wisata di kepulauan Kangean. Alamnya segar... khas pantai;1
Pengelolaan wisatanya sudah cukup bagus bahkan sempat diadakan acara lomba saat pembukaan untuk menarik dan memperkenalkan pantai Sapoong kepada wisatawan lokal. Hanya saja hype yang didapatkan oleh pengunjung hanya sebatas pada awal pembukaan hingga beberapa bulan kemudian. Salah satu penyebab sepinya pengunjung karena akses ke tempat ini cukup jauh dan jalan yang ditempuh lumayan sulit.;1
Luar biasa, salah satu wisata pantai di pulau Kangean yang menawarkan keindahan alam;1
Pantai Teluk Sapoong Wahana Wisata Alami yang Eksotik dengan Hamparan Pantai Memutih dan Teluk yang Hijau Ranum.;1
Teluk Sa pohong artinya satu pohon,, di eja Sa pohong, hehehehehhee;1
Akhir Oktober Insya Allah AQ mau Travelling ke Sapoong Bay;1
Ditingkatkan dalam segala hal.... Sukses...;1
Karena ini adalah desa kelahiran saya;1
pantai terindah di pulau kangean. sebuah resor yang cukup baru tetapi fasilitasnya cukup baik. ia memiliki pondok rumah pohon untuk turis. pantai alami, habitat lolizar monitor, monyet dan burung.;1
Surga yang tersembunyi. Jatuh cinta dengan matahari terbenam;1
Itu benar-benar memuaskan pikiran kita;1
Luar biasa...;1
Pengelolaan sudah cukup baik dan layanannya juga sudah mulai di manajemen. Ada fasilitas boat, jembatan untuk foto, dan sejumlah variasi untuk foto yang instagramable. Semoga fasilitasnya semakin berkembang dan semakin banyak pulau wisatawan yang berkunjung ke tempat in;1
Bagus banget pantainya dengan pasir putih dengan ombak yang tenang. Sayang fasilitasnya sudah terbengkalai. Akses jalan dari arah arjasa masih perlu banyak perbaikan, termasuk papan penunjuk jalan ke teluk sapoong. Kesadaran masyarakat untuk tidak buang sampah sembarangan juga sangat rendah;1
Tempat wisata pantai teluk sapoong ini pd tahun 2018 sangat bagus tapi pada bulan juni 2020 ini tempat nya sudah tidak bagus lagi bahkan ada sebagian spot selfinya yg hancur;1
Bagus,Keren,Banyk spot foto yg menarik. Tapi sayangnya jalun untuk menuju kesana rusak parah. Jadi saya minta tolong untuk di perbaiki. Karena sapoong ini termasuk visit yg harus dikembangkan;1
Biasa;1
Gua pernah kesana, dan itu menyenangkan;1
Indah dipandang;1
Ini adalah tujuan wisata yang didirikan dan dikelola oleh masyarakat. Pantai yang benar-benar segar dan indah ditelan air tenang Teluk Sapoong, di ujung selatan Pulau Kangean. Dalam jarak tempuh 3 jam perjalanan dari Bali, sudah pasti surga tersembunyi yang sebentar lagi akan terungkap menyapa para pengunjung baru. Pasirnya putih murni, airnya tenang di sebagian besar waktu dan udaranya tenang.;1
Bagus pantainya, cocok kalo selfie dan instagramable,,, tapi tolong dong akses jalannya bikin orang males yg balik lagi..;0
Bagus, tp butuh peraeatan yg lebih baik lg;0
"hanya tinggal puing"" skrg sdh tdk ada lagi pengunjung";0
